Country,Commodity type,srcYear,Imports or exports,Quantity of imports or exports of principal agricultural commodities ,Value of imports or exports of principal agricultural commodities ,YearCode,Year
India,Ayush and herbal products,2010-11,Imports,8.16,155.12,2010,"Financial Year (Apr - Mar), 2010"
India,Jute hessian,2010-11,Exports,,722.87,2010,"Financial Year (Apr - Mar), 2010"
India,"Jute, raw",2010-11,Imports,83.3,302.49,2010,"Financial Year (Apr - Mar), 2010"
India,Jute hessian,2010-11,Imports,,169.43,2010,"Financial Year (Apr - Mar), 2010"
India,Castor oil,2010-11,Exports,424.46,2982.92,2010,"Financial Year (Apr - Mar), 2010"
India,Cotton raw including Waste,2010-11,Imports,,622.24,2010,"Financial Year (Apr - Mar), 2010"
India,"Jute, raw",2010-11,Exports,36.02,128.33,2010,"Financial Year (Apr - Mar), 2010"
India,Total Agricultural Imports,2010-11,Imports,,51073.97,2010,"Financial Year (Apr - Mar), 2010"
India,Total National Imports,2010-11,Imports,,1683466.96,2010,"Financial Year (Apr - Mar), 2010"
India,Guargam meal,2010-11,Exports,421.43,2938.7,2010,"Financial Year (Apr - Mar), 2010"
India,Percentage Share of Agricultural Imports in National Imports,2010-11,Imports,,3.03,2010,"Financial Year (Apr - Mar), 2010"
India,Oil meals,2010-11,Exports,6945.17,11069.58,2010,"Financial Year (Apr - Mar), 2010"
India,Vegetable oils,2010-11,Exports,13.71,114.62,2010,"Financial Year (Apr - Mar), 2010"
India,Other oil seeds,2010-11,Exports,42.82,113.4,2010,"Financial Year (Apr - Mar), 2010"
India,Groundnut,2010-11,Exports,433.76,2178.41,2010,"Financial Year (Apr - Mar), 2010"
India,Tea,2010-11,Imports,20.82,202,2010,"Financial Year (Apr - Mar), 2010"
India,Niger seeds,2010-11,Exports,12.86,44.51,2010,"Financial Year (Apr - Mar), 2010"
India,Cashew nut shell liquid,2010-11,Exports,11.92,33.77,2010,"Financial Year (Apr - Mar), 2010"
India,Cashew,2010-11,Exports,92.38,2819.39,2010,"Financial Year (Apr - Mar), 2010"
India,Spices,2010-11,Exports,688.39,7886.51,2010,"Financial Year (Apr - Mar), 2010"
India,Tobacco manufactured,2010-11,Exports,,833.61,2010,"Financial Year (Apr - Mar), 2010"
India,Tobacco unmanufactured,2010-11,Exports,215.88,3151.58,2010,"Financial Year (Apr - Mar), 2010"
India,Pulses,2010-11,Exports,209.02,870.04,2010,"Financial Year (Apr - Mar), 2010"
India,Other cereals,2010-11,Exports,3220.09,3648.49,2010,"Financial Year (Apr - Mar), 2010"
India,Wheat,2010-11,Exports,0.4,0.7,2010,"Financial Year (Apr - Mar), 2010"
India,Rice (other than Basmati),2010-11,Exports,100.68,231.29,2010,"Financial Year (Apr - Mar), 2010"
India,Coffee,2010-11,Imports,41.63,295,2010,"Financial Year (Apr - Mar), 2010"
India,Processed fruits and juices,2011-12,Exports,,2277.04,2011,"Financial Year (Apr - Mar), 2011"
India,Floriculture products,2011-12,Imports,,68.64,2011,"Financial Year (Apr - Mar), 2011"
India,Castor oil,2011-12,Imports,0.06,1.29,2011,"Financial Year (Apr - Mar), 2011"
